Callsign,SummitsActivated,Award,AwardDate
GM4TOE/P,77,Osprey Outlander,2011-05-01
MM1EYO/P,3,Heather Hopper,2011-04-19
MM1EYP/P,4,Heather Hopper,2010-08-26
GM0AXY/P,3,Heather Hopper,2011-07-27
GM4YMM/P,3,Heather Hopper,2011-07-27
MM1BJP,1,Heather Hopper,2005-06-11
GM4YSS/P,1,Heather Hopper,2018-05-10
GM4COX,22,Capercaillie Conqueror,2014-03-14
GM4UXX,1,Heather Hopper,2003-07-09
MM1MAJ/P,14,Capercaillie Conqueror,2019-09-19
GM7PKT/P,64,Osprey Outlander,2017-09-23
GM1INK/P,6,Ptarmigan Pioneer,2016-08-18
GM4ZFZ/P,7,Ptarmigan Pioneer,2005-12-24
MM0DOE/P,6,Ptarmigan Pioneer,2004-08-08
MM/OE5EEP/P,1,Heather Hopper,2014-08-08
GM0FIM/P,5,Ptarmigan Pioneer,2005-05-06
GM0PKX/P,11,Capercaillie Conqueror,2006-04-23
MM0CBC/P,7,Ptarmigan Pioneer,2024-11-18
GM7VJR,1,Heather Hopper,2005-06-05
GM7SRJ/P,3,Heather Hopper,2008-04-06
GM7NQP/P,5,Ptarmigan Pioneer,2006-10-08
MM3EYP/P,4,Heather Hopper,2010-08-26
GM6DDQ,7,Ptarmigan Pioneer,2007-05-04
GM4MD/P,1,Heather Hopper,2014-08-24
MM0DHY/P,56,Osprey Outlander,2022-09-10
MM/HB9IAB/P,1,Heather Hopper,2018-10-18
GM4OIG/P,5,Ptarmigan Pioneer,2023-12-15
GMOUDL/P,12,Capercaillie Conqueror,2011-09-29
MM3ZCB/P,14,Capercaillie Conqueror,2019-09-19
MM0BCR/P,1,Heather Hopper,2006-09-16
2M0AVL,1,Heather Hopper,2006-09-16
MM0ROV/P,44,Osprey Outlander,2013-12-02
MM0FMF/P,34,Capercaillie Conqueror,2024-08-11
GM4ZRP/P,1,Heather Hopper,2010-10-13
GM6WRW/P,4,Heather Hopper,2014-07-28
GM1JTD/P,2,Heather Hopper,2009-09-11
GM3YTS/P,7,Ptarmigan Pioneer,2020-09-27
MM3WJZ/P,15,Capercaillie Conqueror,2016-06-18
2M0IMP/P,4,Heather Hopper,2010-10-16
MM0YHB/P,4,Heather Hopper,2014-07-28
GM8MIA/P,1,Heather Hopper,2019-05-13
GG100GGR,1,Heather Hopper,2010-06-19
MM0TAI,10,Capercaillie Conqueror,2019-03-01
MM0JLA/P,11,Capercaillie Conqueror,2024-05-18
MM0HAI/P,1,Heather Hopper,2010-09-12
MM0ECU/P,1,Heather Hopper,2010-07-31
MM/HB9BQU/P,1,Heather Hopper,2011-08-20
MM6BWA/P,12,Capercaillie Conqueror,2024-05-18
MM/SQ9OZM/P,1,Heather Hopper,2014-05-16
MM0YCJ/P,79,Osprey Outlander,2021-12-21
MM0GYX/P,9,Ptarmigan Pioneer,2016-08-01
MM/SQ9MDF/P,3,Heather Hopper,2019-08-07
MM0GLM/P,1,Heather Hopper,2018-08-10
MM/OK2PDT/P,1,Heather Hopper,2012-08-10
MM/OE3CHC/P,1,Heather Hopper,2012-09-07
MM/SQ9NOT/P,1,Heather Hopper,2019-08-07
MM0SNA/P,2,Heather Hopper,2019-09-24
2M0KAU/P,4,Heather Hopper,2019-07-07
anon54803907,2,Heather Hopper,2016-09-25
GM0BKC/P,7,Ptarmigan Pioneer,2016-11-06
GM0EVV/P,2,Heather Hopper,2018-09-12
GM0GAV/P,48,Osprey Outlander,2024-09-08
MM0PDV/P,1,Heather Hopper,2024-06-12
GM0AZB/P,2,Heather Hopper,2016-08-17
GM8OEG/P,5,Ptarmigan Pioneer,2016-05-14
MM6GYU/P,5,Ptarmigan Pioneer,2021-08-19
GM0AZA/P,2,Heather Hopper,2016-08-17
MM0CMV/P,1,Heather Hopper,2019-06-17
GM7WKX/P,6,Ptarmigan Pioneer,2022-06-16
MM0NJH/P,3,Heather Hopper,2024-04-19
2M0KZN/P,3,Heather Hopper,2021-12-22
MM1HAX/P,1,Heather Hopper,2023-02-18
MM0IVR/P,7,Ptarmigan Pioneer,2024-09-07
MM0VPM,19,Capercaillie Conqueror,2024-09-25
MM5NEX,1,Heather Hopper,2019-06-27
MM0RPK/P,4,Heather Hopper,2022-12-30
GM5AIB/P,16,Capercaillie Conqueror,2024-07-14
GM4JXP/P,19,Capercaillie Conqueror,2024-09-25
GM1AUZ,1,Heather Hopper,2024-09-29
MM0RFN/P,4,Heather Hopper,2023-07-08
MM7SRA/P,1,Heather Hopper,2022-08-30
MM0EFI/P,72,Osprey Outlander,2024-05-08
MM7NDC/P,4,Heather Hopper,2022-06-16
MM7MWL/P,7,Ptarmigan Pioneer,2024-09-06
MM7RVC,8,Ptarmigan Pioneer,2024-09-29
GM4BML/P,5,Ptarmigan Pioneer,2023-05-06
MM/KI6SYD/P,1,Heather Hopper,2022-07-13
MM7RTC/P,1,Heather Hopper,2024-07-11
MM7WDP/P,1,Heather Hopper,2022-03-03
MM7MOX/P ,2,Heather Hopper,2024-08-12
GM4YMI/P,1,Heather Hopper,2023-07-08
GM5ALX/P,24,Capercaillie Conqueror,2024-12-18
GM5OLD/P,3,Heather Hopper,2024-10-25
MM7LEF,1,Heather Hopper,2024-11-30
